PostCode,PostcodeNummers,PostcodeLetters,Latitude,Longitude
1000NA,1000,NA,52.37777895,4.90558954
1000ND,1000,ND,52.37777895,4.90558954
1001AA,1001,AA,52.37777895,4.90558954
1001AB,1001,AB,52.37777895,4.90558954
1001AC,1001,AC,52.37777895,4.90558954
1001AD,1001,AD,52.37777895,4.90558954
1001AE,1001,AE,52.37777895,4.90558954
1001AG,1001,AG,52.37777895,4.90558954
1001AH,1001,AH,52.37777895,4.90558954
1001AJ,1001,AJ,52.37777895,4.90558954
1001AK,1001,AK,52.37777895,4.90558954
1001AL,1001,AL,52.37777895,4.90558954
1001AM,1001,AM,52.37777895,4.90558954
1001AN,1001,AN,52.37777895,4.90558954
1001AP,1001,AP,52.37777895,4.90558954
1001AR,1001,AR,52.37777895,4.90558954
1001AS,1001,AS,52.37777895,4.90558954
1001AT,1001,AT,52.37777895,4.90558954
1001CB,1001,CB,52.37777895,4.90558954
1001CR,1001,CR,52.37777895,4.90558954
1001EA,1001,EA,52.37777895,4.90558954
1001EB,1001,EB,52.37777895,4.90558954
1001EC,1001,EC,52.37777895,4.90558954
1001ED,1001,ED,52.37777895,4.90558954
1001EE,1001,EE,52.37777895,4.90558954
1001EG,1001,EG,52.37777895,4.90558954
1001EH,1001,EH,52.37777895,4.90558954
1001EJ,1001,EJ,52.37777895,4.90558954
1001EK,1001,EK,52.37777895,4.90558954
1001EL,1001,EL,52.37777895,4.90558954
1001EM,1001,EM,52.37777895,4.90558954
1001EN,1001,EN,52.37777895,4.90558954
1001EP,1001,EP,52.37777895,4.90558954
1001ER,1001,ER,52.37777895,4.90558954
1001ES,1001,ES,52.37777895,4.90558954
1001ET,1001,ET,52.37777895,4.90558954
1001EV,1001,EV,52.37777895,4.90558954
1001EW,1001,EW,52.37777895,4.90558954
1001EX,1001,EX,52.37777895,4.90558954
1001EZ,1001,EZ,52.37777895,4.90558954
1001GA,1001,GA,52.37777895,4.90558954
1001GB,1001,GB,52.37777895,4.90558954
1001GC,1001,GC,52.37777895,4.90558954
1001GD,1001,GD,52.37777895,4.90558954
1001GE,1001,GE,52.37777895,4.90558954
1001GG,1001,GG,52.37777895,4.90558954
1001GH,1001,GH,52.37777895,4.90558954
1001GJ,1001,GJ,52.37777895,4.90558954
1001GK,1001,GK,52.37777895,4.90558954
1001GL,1001,GL,52.37777895,4.90558954
1001GM,1001,GM,52.37777895,4.90558954
1001GN,1001,GN,52.37777895,4.90558954
1001GP,1001,GP,52.37777895,4.90558954
1001GR,1001,GR,52.37777895,4.90558954
1001GS,1001,GS,52.37777895,4.90558954
1001GT,1001,GT,52.37777895,4.90558954
1001GV,1001,GV,52.37777895,4.90558954
1001GW,1001,GW,52.37777895,4.90558954
1001GX,1001,GX,52.37777895,4.90558954
1001GZ,1001,GZ,52.37777895,4.90558954
1001JA,1001,JA,52.37777895,4.90558954
1001JB,1001,JB,52.37777895,4.90558954
1001JC,1001,JC,52.37777895,4.90558954
1001JD,1001,JD,52.37777895,4.90558954
1001JE,1001,JE,52.37777895,4.90558954
1001JG,1001,JG,52.37777895,4.90558954
1001JH,1001,JH,52.37777895,4.90558954
1001JJ,1001,JJ,52.37777895,4.90558954
1001JK,1001,JK,52.37777895,4.90558954
1001JL,1001,JL,52.37777895,4.90558954
1001JM,1001,JM,52.37777895,4.90558954
1001JN,1001,JN,52.37777895,4.90558954
1001LA,1001,LA,52.37777895,4.90558954
1001LB,1001,LB,52.37777895,4.90558954
1001LC,1001,LC,52.37777895,4.90558954
1001LD,1001,LD,52.37777895,4.90558954
1001LE,1001,LE,52.37777895,4.90558954
1001LG,1001,LG,52.37777895,4.90558954
1001LH,1001,LH,52.37777895,4.90558954
1001LJ,1001,LJ,52.37777895,4.90558954
1001LK,1001,LK,52.37777895,4.90558954
1001MA,1001,MA,52.37777895,4.90558954
1001MB,1001,MB,52.37777895,4.90558954
1001MC,1001,MC,52.37777895,4.90558954
1001MD,1001,MD,52.37777895,4.90558954
1001ME,1001,ME,52.37777895,4.90558954
1001MG,1001,MG,52.37777895,4.90558954
1001MH,1001,MH,52.37777895,4.90558954
1001MJ,1001,MJ,52.37777895,4.90558954
1001MK,1001,MK,52.37777895,4.90558954
1001ML,1001,ML,52.37777895,4.90558954
1001NA,1001,NA,52.37777895,4.90558954
1001NB,1001,NB,52.37777895,4.90558954
1001NC,1001,NC,52.37777895,4.90558954
1001ND,1001,ND,52.37777895,4.90558954
1001NE,1001,NE,52.37777895,4.90558954
1001NG,1001,NG,52.37777895,4.90558954
1001NH,1001,NH,52.37777895,4.90558954
1001NJ,1001,NJ,52.37777895,4.90558954
1001NK,1001,NK,52.37777895,4.90558954
1001NL,1001,NL,52.37777895,4.90558954
1001NM,1001,NM,52.37777895,4.90558954
1001NN,1001,NN,52.37777895,4.90558954
1001NP,1001,NP,52.37777895,4.90558954
1001NR,1001,NR,52.37777895,4.90558954
1001NS,1001,NS,52.37777895,4.90558954
1001RA,1001,RA,52.37777895,4.90558954
1001RB,1001,RB,52.37777895,4.90558954
1001RC,1001,RC,52.37777895,4.90558954
1001RD,1001,RD,52.37777895,4.90558954
1001RE,1001,RE,52.37777895,4.90558954
1001RG,1001,RG,52.37777895,4.90558954
1001RH,1001,RH,52.37777895,4.90558954
1001RJ,1001,RJ,52.37777895,4.90558954
1001RK,1001,RK,52.37777895,4.90558954
1001RL,1001,RL,52.37777895,4.90558954
1001RM,1001,RM,52.37777895,4.90558954
1001RN,1001,RN,52.37777895,4.90558954
1001TV,1001,TV,52.37777895,4.90558954
1001WB,1001,WB,52.37777895,4.90558954
1001WC,1001,WC,52.37777895,4.90558954
1001WD,1001,WD,52.37777895,4.90558954
1001WE,1001,WE,52.37777895,4.90558954
1001ZA,1001,ZA,52.37777895,4.90558954
1001ZB,1001,ZB,52.37777895,4.90558954
1001ZC,1001,ZC,52.37777895,4.90558954
1001ZD,1001,ZD,52.37777895,4.90558954
1002GD,1002,GD,51.8611924,4.358999025
1003AA,1003,AA,51.8611924,4.358999025
1005AA,1005,AA,52.37777895,4.90558954
1005AB,1005,AB,52.37777895,4.90558954
1005AC,1005,AC,52.37777895,4.90558954
1005AD,1005,AD,52.37777895,4.90558954
1005AE,1005,AE,52.37777895,4.90558954
1005AG,1005,AG,52.37777895,4.90558954
1005AH,1005,AH,52.37777895,4.90558954
1005AK,1005,AK,52.37777895,4.90558954
1005AL,1005,AL,52.37777895,4.90558954
1005AM,1005,AM,52.37777895,4.90558954
1005AN,1005,AN,52.37777895,4.90558954
1005AR,1005,AR,52.37777895,4.90558954
1005AS,1005,AS,52.37777895,4.90558954
1005BA,1005,BA,52.37777895,4.90558954
1005BB,1005,BB,52.37777895,4.90558954
1005BC,1005,BC,52.37777895,4.90558954
1005BD,1005,BD,52.37777895,4.90558954
1005BK,1005,BK,52.37777895,4.90558954
1005DA,1005,DA,52.37777895,4.90558954
1005EA,1005,EA,52.37777895,4.90558954
1005EB,1005,EB,52.37777895,4.90558954
1005EE,1005,EE,52.37777895,4.90558954
1005EG,1005,EG,52.37777895,4.90558954
1005EH,1005,EH,52.37777895,4.90558954
1005EJ,1005,EJ,52.37777895,4.90558954
1005EK,1005,EK,52.37777895,4.90558954
1005EM,1005,EM,52.37777895,4.90558954
1005ER,1005,ER,52.37777895,4.90558954
1005HA,1005,HA,52.37777895,4.90558954
1005HB,1005,HB,52.37777895,4.90558954
1005HD,1005,HD,52.37777895,4.90558954
1005HE,1005,HE,52.37777895,4.90558954
1005HG,1005,HG,52.37777895,4.90558954
1005HH,1005,HH,52.37777895,4.90558954
1005LA,1005,LA,52.37777895,4.90558954
1005LB,1005,LB,52.37777895,4.90558954
1005LC,1005,LC,52.37777895,4.90558954
1005LD,1005,LD,52.37777895,4.90558954
1005LE,1005,LE,52.37777895,4.90558954
1006AA,1006,AA,52.37777895,4.90558954
1006AB,1006,AB,52.37777895,4.90558954
1006AC,1006,AC,52.37777895,4.90558954
1006AD,1006,AD,52.37777895,4.90558954
1006AE,1006,AE,52.37777895,4.90558954
1006AG,1006,AG,52.37777895,4.90558954
1006AH,1006,AH,52.37777895,4.90558954
1006AJ,1006,AJ,52.37777895,4.90558954
1006AK,1006,AK,52.37777895,4.90558954
1006AL,1006,AL,52.37777895,4.90558954
1006AM,1006,AM,52.37777895,4.90558954
1006AN,1006,AN,52.37777895,4.90558954
1006AP,1006,AP,52.37777895,4.90558954
1006AR,1006,AR,52.37777895,4.90558954
1006BA,1006,BA,52.37777895,4.90558954
1006BB,1006,BB,52.37777895,4.90558954
1006BC,1006,BC,52.37777895,4.90558954
1006BD,1006,BD,52.37777895,4.90558954
1006BE,1006,BE,52.37777895,4.90558954
1006BG,1006,BG,52.37777895,4.90558954
1006BH,1006,BH,52.37777895,4.90558954
1006BJ,1006,BJ,52.37777895,4.90558954
1006BK,1006,BK,52.37777895,4.90558954
1006BL,1006,BL,52.37777895,4.90558954
1006BM,1006,BM,52.37777895,4.90558954
1006CE,1006,CE,52.37777895,4.90558954
1006EA,1006,EA,52.37777895,4.90558954
1006EB,1006,EB,52.37777895,4.90558954
1006GA,1006,GA,52.37777895,4.90558954
1006GB,1006,GB,52.37777895,4.90558954
1006GC,1006,GC,52.37777895,4.90558954
1006GD,1006,GD,52.37777895,4.90558954
1006GE,1006,GE,52.37777895,4.90558954
1006JA,1006,JA,52.37777895,4.90558954
1006JB,1006,JB,52.37777895,4.90558954
1006JC,1006,JC,52.37777895,4.90558954
1006JD,1006,JD,52.37777895,4.90558954
1006KA,1006,KA,52.37777895,4.90558954
1007AB,1007,AB,52.37777895,4.90558954
1007AG,1007,AG,52.37777895,4.90558954
1007AL,1007,AL,52.37777895,4.90558954
1007AM,1007,AM,52.37777895,4.90558954
1007EA,1007,EA,52.37777895,4.90558954
1007EB,1007,EB,52.37777895,4.90558954
1007EC,1007,EC,52.37777895,4.90558954
1007ED,1007,ED,52.37777895,4.90558954
1007EE,1007,EE,52.37777895,4.90558954
1007EG,1007,EG,52.37777895,4.90558954
1007EH,1007,EH,52.37777895,4.90558954
1007EJ,1007,EJ,52.37777895,4.90558954
1007JA,1007,JA,52.37777895,4.90558954
1007JB,1007,JB,52.37777895,4.90558954
1007JC,1007,JC,52.37777895,4.90558954
1007JD,1007,JD,52.37777895,4.90558954
1007JE,1007,JE,52.37777895,4.90558954
1007JG,1007,JG,52.37777895,4.90558954
1007JH,1007,JH,52.37777895,4.90558954
1007JJ,1007,JJ,52.37777895,4.90558954
1007JK,1007,JK,52.37777895,4.90558954
1007JL,1007,JL,52.37777895,4.90558954
1007KA,1007,KA,52.37777895,4.90558954
1007KB,1007,KB,52.37777895,4.90558954
1007KC,1007,KC,52.37777895,4.90558954
1007KD,1007,KD,52.37777895,4.90558954
1007KE,1007,KE,52.37777895,4.90558954
1007KG,1007,KG,52.37777895,4.90558954
1007KH,1007,KH,52.37777895,4.90558954
1007KJ,1007,KJ,52.37777895,4.90558954
1007KK,1007,KK,52.37777895,4.90558954
1007KL,1007,KL,52.37777895,4.90558954
1007KM,1007,KM,52.37777895,4.90558954
1007MA,1007,MA,52.37777895,4.90558954
1007MB,1007,MB,52.37777895,4.90558954
1007MC,1007,MC,52.37777895,4.90558954
1007NA,1007,NA,52.37777895,4.90558954
1007NB,1007,NB,52.37777895,4.90558954
1007NC,1007,NC,52.37777895,4.90558954
1007RA,1007,RA,52.37777895,4.90558954
1007RB,1007,RB,52.37777895,4.90558954
1007RC,1007,RC,52.37777895,4.90558954
1007RD,1007,RD,52.37777895,4.90558954
1007RE,1007,RE,52.37777895,4.90558954
1007RG,1007,RG,52.37777895,4.90558954
1007VA,1007,VA,52.37777895,4.90558954
1008AA,1008,AA,52.37777895,4.90558954
1008AB,1008,AB,52.37777895,4.90558954
1008AC,1008,AC,52.37777895,4.90558954
1008AD,1008,AD,52.37777895,4.90558954
1008BA,1008,BA,52.37777895,4.90558954
1008BB,1008,BB,52.37777895,4.90558954
1008BC,1008,BC,52.37777895,4.90558954
1008BD,1008,BD,52.37777895,4.90558954
1008BE,1008,BE,52.37777895,4.90558954
1008BG,1008,BG,52.37777895,4.90558954
1008BH,1008,BH,52.37777895,4.90558954
1008BJ,1008,BJ,52.37777895,4.90558954
1008CA,1008,CA,52.37777895,4.90558954
1008DE,1008,DE,52.37777895,4.90558954
1008DG,1008,DG,52.37777895,4.90558954
1008EA,1008,EA,52.37777895,4.90558954
1008EB,1008,EB,52.37777895,4.90558954
1008EC,1008,EC,52.37777895,4.90558954
1009AA,1009,AA,52.37777895,4.90558954
1009AK,1009,AK,52.37777895,4.90558954
1009AM,1009,AM,52.37777895,4.90558954
1009CG,1009,CG,52.37777895,4.90558954
1009DB,1009,DB,52.37777895,4.90558954
1009DC,1009,DC,52.37777895,4.90558954
1009EX,1009,EX,52.37777895,4.90558954
1011AB,1011,AB,52.37777895,4.90558954
1011AC,1011,AC,52.37741248,4.908366485
1011AD,1011,AD,52.37633964,4.906366778
1011AE,1011,AE,52.3755845,4.910773815
1011AG,1011,AG,52.37587508,4.902921301
1011AH,1011,AH,52.3756894,4.902931444
1011AJ,1011,AJ,52.37543484,4.902830653
1011AK,1011,AK,52.37464881,4.903881878
1011AL,1011,AL,52.36882601,4.901985118
1011AM,1011,AM,52.37412891,4.904894217
1011AN,1011,AN,52.374012,4.905070261
1011AP,1011,AP,52.37390359,4.905291585
1011AR,1011,AR,52.37371616,4.905609
1011AS,1011,AS,52.37343285,4.906105172
1011AT,1011,AT,52.37327418,4.906393574
1011AV,1011,AV,52.3730859,4.906764357
1011AW,1011,AW,52.37295977,4.906985012
1011AX,1011,AX,52.37401026,4.904412316
1011AZ,1011,AZ,52.37329842,4.905631107
1011BA,1011,BA,52.37349878,4.905649899
1011BB,1011,BB,52.37336353,4.905446164
1011BC,1011,BC,52.37278311,4.906879699
1011BD,1011,BD,52.37264624,4.906582461
1011BG,1011,BG,52.3744218,4.903799567
1011BH,1011,BH,52.37365295,4.904445567
1011BJ,1011,BJ,52.37342859,4.904855797
1011BK,1011,BK,52.37324366,4.905149053
1011BL,1011,BL,52.37309521,4.905417844
1011BM,1011,BM,52.37300124,4.905577539
1011BN,1011,BN,52.3729016,4.905754835
1011BP,1011,BP,52.37276488,4.90600043
1011BR,1011,BR,52.37262875,4.906249579
1011BS,1011,BS,52.37505515,4.902747641
1011BT,1011,BT,52.37461522,4.902534889
1011BV,1011,BV,52.37423873,4.90250337
1011BW,1011,BW,52.37385739,4.902743391
1011BX,1011,BX,52.37335915,4.903098287
1011BZ,1011,BZ,52.37315656,4.903483163
1011CA,1011,CA,52.37293756,4.903857287
1011CB,1011,CB,52.37265763,4.904363975
1011CC,1011,CC,52.37247242,4.904705504
1011CD,1011,CD,52.3723315,4.904941455
1011CE,1011,CE,52.37218959,4.905207416
1011CH,1011,CH,52.37389867,4.902160766
1011CJ,1011,CJ,52.37370669,4.902599093
1011CK,1011,CK,52.37386467,4.901876154
1011CL,1011,CL,52.37369088,4.902355311
1011CM,1011,CM,52.37342669,4.902533036
1011CN,1011,CN,52.3734069,4.902195347
1011CP,1011,CP,52.37321068,4.902317989
1011CR,1011,CR,52.37320833,4.90195339
1011CS,1011,CS,52.37286682,4.902553748
1011CT,1011,CT,52.37266197,4.902933583
1011CV,1011,CV,52.37247171,4.90324394
1011CW,1011,CW,52.37222815,4.90370451
1011CX,1011,CX,52.37205136,4.904003181
1011CZ,1011,CZ,52.37187984,4.904307706
1011DB,1011,DB,52.37337661,4.902673651
1011DC,1011,DC,52.37155433,4.901022836
1011DD,1011,DD,52.37639368,4.906751616
1011DG,1011,DG,52.37616742,4.907656142
1011DH,1011,DH,52.37629425,4.908475234
1011DJ,1011,DJ,52.37646489,4.90598723
1011DK,1011,DK,52.37643405,4.907449481
1011DL,1011,DL,52.37603118,4.90700958
1011DZ,1011,DZ,52.37173741,4.901467879
1011EA,1011,EA,52.37290194,4.901847834
1011EB,1011,EB,52.3725743,4.902437805
1011EC,1011,EC,52.37217795,4.90315274
1011ED,1011,ED,52.37170905,4.904027994
1011EE,1011,EE,52.37261827,4.904047177
1011EG,1011,EG,52.37251009,4.903791232
1011EH,1011,EH,52.37578351,4.902564733
1011EJ,1011,EJ,52.37535241,4.902367974
1011EK,1011,EK,52.3749223,4.902147963
1011EL,1011,EL,52.37429448,4.901824864
1011EM,1011,EM,52.37366795,4.901512004
1011EN,1011,EN,52.37303527,4.901232117
1011ER,1011,ER,52.37414528,4.902232307
1011ES,1011,ES,52.37271028,4.901374607
1011ET,1011,ET,52.37233965,4.902061078
1011EV,1011,EV,52.37262783,4.901258257
1011EW,1011,EW,52.37229746,4.901779633
1011EX,1011,EX,52.37182539,4.902999383
1011EZ,1011,EZ,52.37150059,4.903538067
1011GA,1011,GA,52.37167099,4.90299045
1011GB,1011,GB,52.37170871,4.903607016
1011GC,1011,GC,52.37174529,4.903445721
1011GD,1011,GD,52.3718519,4.901566999
1011GG,1011,GG,52.37132243,4.902797245
1011GH,1011,GH,52.37122178,4.902693459
1011GJ,1011,GJ,52.3714535,4.902967643
1011GK,1011,GK,52.37141541,4.90177618
1011GL,1011,GL,52.37135638,4.901377421
1011GM,1011,GM,52.3707685,4.901845351
1011GN,1011,GN,52.37276316,4.901708458
1011GP,1011,GP,52.37217031,4.902824347
1011GR,1011,GR,52.37173586,4.90263138
1011GR,1011,GR,52.35378503,4.91194725
1011GS,1011,GS,52.37115834,4.902218624
1011GT,1011,GT,52.37077092,4.901538014
1011GV,1011,GV,52.37235298,4.902470767
1011GW,1011,GW,52.37192432,4.902222185
1011GX,1011,GX,52.3713856,4.901931423
1011GZ,1011,GZ,52.37037986,4.901284899
1011HA,1011,HA,52.37061925,4.900935193
1011HB,1011,HB,52.37097709,4.900645513
1011HC,1011,HC,52.3708717,4.899513035
1011HD,1011,HD,52.370712,4.900101934
1011HE,1011,HE,52.37076902,4.899352595
1011HG,1011,HG,52.3705376,4.900161992
1011HH,1011,HH,52.37058338,4.899395192
1011HJ,1011,HJ,52.37027533,4.899046486
1011HK,1011,HK,52.37020154,4.898805753
1011HL,1011,HL,52.37002617,4.899581275
1011HM,1011,HM,52.37058769,4.899818351
1011HN,1011,HN,52.37000307,4.899280749
1011HP,1011,HP,52.3702986,4.899329842
1011HR,1011,HR,52.36928198,4.898927086
1011HS,1011,HS,52.36860532,4.898275508
1011HT,1011,HT,52.36798945,4.897744241
1011HV,1011,HV,52.36930779,4.898387575
1011HW,1011,HW,52.3688294,4.897965406
1011HX,1011,HX,52.3680353,4.897235039
1011HZ,1011,HZ,52.36893382,4.899155732
1011JA,1011,JA,52.36893752,4.898905067
1011JB,1011,JB,52.36994403,4.901137763
1011JB,1011,JB,52.36935045,4.901109394
1011JC,1011,JC,52.36928578,4.899863857
1011JC,1011,JC,52.36999621,4.901326242
1011JD,1011,JD,52.3691669,4.899639407
1011JG,1011,JG,52.36902259,4.899517235
1011JH,1011,JH,52.36843126,4.898842712
1011JJ,1011,JJ,52.36834588,4.897139106
1011JK,1011,JK,52.36827113,4.898188296
1011JL,1011,JL,52.36821489,4.896984492
1011JM,1011,JM,52.36813923,4.898125775
1011JN,1011,JN,52.3677589,4.897843187
1011JP,1011,JP,52.37262819,4.901055119
1011JR,1011,JR,52.3724527,4.900924883
1011JS,1011,JS,52.37223774,4.900743687
1011JT,1011,JT,52.37180408,4.899992752
1011JV,1011,JV,52.37139185,4.899639427
1011JW,1011,JW,52.37076719,4.898939021
1011JX,1011,JX,52.37046109,4.898662585
1011JZ,1011,JZ,52.37014393,4.898421677
1011KA,1011,KA,52.36944806,4.897821626
1011KB,1011,KB,52.36894153,4.897298142
1011KC,1011,KC,52.36853076,4.896935276
1011KD,1011,KD,52.36817025,4.896549146
1011KE,1011,KE,52.3679106,4.896321748
1011KH,1011,KH,52.36996779,4.89878777
1011KJ,1011,KJ,52.36981214,4.899536162
1011KJ,1011,KJ,52.36979746,4.89998488
1011KK,1011,KK,52.36951035,4.89937934
1011KM,1011,KM,52.36781513,4.896590892
1011KN,1011,KN,52.36783611,4.896932527
1011KP,1011,KP,52.37157042,4.906163417
1011KR,1011,KR,52.37140954,4.905758858
1011KS,1011,KS,52.37126103,4.90538154
1011KT,1011,KT,52.37105528,4.904962922
1011KV,1011,KV,52.37078378,4.904291086
1011KW,1011,KW,52.37035494,4.903349153
1011KX,1011,KX,52.37207395,4.905328011
1011KZ,1011,KZ,52.37204525,4.904829914
1011LA,1011,LA,52.37179437,4.904644678
1011LB,1011,LB,52.37147889,4.903958211
1011LC,1011,LC,52.37128245,4.903521275
1011LD,1011,LD,52.37100093,4.902884094
1011LE,1011,LE,52.37065434,4.90201236
1011LE,1011,LE,52.37061446,4.901958213
1011LH,1011,LH,52.37158487,4.90656185
1011LJ,1011,LJ,52.37065931,4.904282652
1011LK,1011,LK,52.37051473,4.904434326
1011LL,1011,LL,52.36999787,4.902720426
1011LM,1011,LM,52.37097589,4.906839685
1011LN,1011,LN,52.36976248,4.903876385
1011LP,1011,LP,52.37134051,4.906715225
1011LR,1011,LR,52.37118963,4.90635435
1011LS,1011,LS,52.37104632,4.906002048
1011LT,1011,LT,52.37089437,4.905650585
1011LV,1011,LV,52.37074597,4.905292587
1011LW,1011,LW,52.3705569,4.90483117
1011LX,1011,LX,52.37007067,4.903677945
1011LZ,1011,LZ,52.37033078,4.908168832
1011MA,1011,MA,52.37200389,4.900765686
1011MB,1011,MB,52.37201443,4.900852695
1011MC,1011,MC,52.37101455,4.901382797
1011ME,1011,ME,52.37211059,4.900904662
1011MG,1011,MG,52.36974631,4.908005875
1011MH,1011,MH,52.36933111,4.906912918
1011MJ,1011,MJ,52.36891508,4.905784771
1011MK,1011,MK,52.36950113,4.90842307
1011ML,1011,ML,52.369028,4.90729056
1011MN,1011,MN,52.3686256,4.906187723
1011MP,1011,MP,52.36981126,4.908637768
1011MR,1011,MR,52.36948922,4.907649725
1011MS,1011,MS,52.36728255,4.901845384
1011MT,1011,MT,52.36903425,4.906520772
1011MV,1011,MV,52.36869524,4.905556823
1011MX,1011,MX,52.37013841,4.904860703
1011MZ,1011,MZ,52.37000166,4.904681372
1011NA,1011,NA,52.36974883,4.906517947
1011NB,1011,NB,52.36944174,4.905965649
1011NC,1011,NC,52.36935606,4.905276034
1011ND,1011,ND,52.36910323,4.904911604
1011NE,1011,NE,52.37246712,4.902250513
1011NG,1011,NG,52.36936815,4.902374586
1011NH,1011,NH,52.36892414,4.903452362
1011NK,1011,NK,52.36880936,4.902308329
1011NK,1011,NK,52.36918697,4.901606746
1011NM,1011,NM,52.36906412,4.90196783
1011NN,1011,NN,52.36905079,4.902004684
1011NP,1011,NP,52.36905079,4.902004684
1011NR,1011,NR,52.36905079,4.902004684
1011NS,1011,NS,52.36872395,4.902687577
1011NS,1011,NS,52.36906077,4.901539921
1011NV,1011,NV,52.36907075,4.901075159
1011NX,1011,NX,52.36892962,4.901328525
1011NZ,1011,NZ,52.36869624,4.901899906
1011PA,1011,PA,52.36881547,4.901604939
1011PB,1011,PB,52.36879561,4.901717004
1011PC,1011,PC,52.36874621,4.901811261
1011PD,1011,PD,52.3687564,4.901812129
1011PE,1011,PE,52.36876834,4.901802209
1011PG,1011,PG,52.36741852,4.902413162
1011PL,1011,PL,52.3668735,4.902850718
1011PM,1011,PM,52.36707927,4.902802662
1011PN,1011,PN,52.36764183,4.900331576
1011PT,1011,PT,52.36646146,4.901793191
1011PV,1011,PV,52.36639269,4.901828202
1011PW,1011,PW,52.36626496,4.901893668
1011PZ,1011,PZ,52.36791709,4.90610559
1011RA,1011,RA,52.36755727,4.90582017
1011RB,1011,RB,52.36745651,4.906114924
1011RC,1011,RC,52.36736692,4.906369171
1011RD,1011,RD,52.36789696,4.904473007
1011RE,1011,RE,52.36727614,4.905541017
1011RG,1011,RG,52.3671541,4.905899432
1011RH,1011,RH,52.36678282,4.904245368
1011RJ,1011,RJ,52.36618104,4.90208501
1011RK,1011,RK,52.36624707,4.902408278
1011RL,1011,RL,52.3663278,4.902776436
